femaleSpecies,maleSpecies,maleID,treatment,spendingTime,maleWeight,averageFemaleWeight,femaleWeight_poMinusga,po_femalePerga_female,exclude
gambusia,poecilia,p1,acclimation,351,0.20212,0.588815,0.10957,1.205175739,0
gambusia,poecilia,p10,acclimation,32,0.10759,0.391525,0.02711,1.071725269,0
gambusia,poecilia,p11,acclimation,1042,0.11976,0.452745,0.24255,1.731740429,0
gambusia,poecilia,p12,acclimation,245,0.16862,0.49682,-0.00788,0.984263919,0
gambusia,poecilia,p13,acclimation,34,0.15565,0.24578,-0.0033,0.986662895,0
gambusia,poecilia,p14,acclimation,197,0.17434,0.322075,-0.09385,0.745663957,0
gambusia,poecilia,p15,acclimation,1194,0.11162,0.35654,0.00352,1.009921642,1
gambusia,poecilia,p16,acclimation,297,0.1423,0.361665,0.05309,1.158420864,0
gambusia,poecilia,p17,acclimation,270,0.12559,0.35153,0.107,1.359024259,0
gambusia,poecilia,p18,acclimation,702,0.1445,0.279065,0.02779,1.104800694,0
gambusia,poecilia,p19,acclimation,0,0.20816,0.487105,0.12245,1.287522307,0
gambusia,poecilia,p2,acclimation,494,0.10198,0.31549,0.08632,1.316968384,0
gambusia,poecilia,p20,acclimation,619,0.12895,0.396515,0.06981,1.193053289,0
gambusia,poecilia,p21,acclimation,876,0.2139,0.40738,-0.01042,0.974744904,1
gambusia,poecilia,p22,acclimation,251,0.14749,0.380405,-0.00251,0.993423466,0
gambusia,poecilia,p23,acclimation,841,0.18688,0.56085,0.04832,1.090033353,0
gambusia,poecilia,p24,acclimation,26,0.11422,0.37333,0.09526,1.29247774,0
gambusia,poecilia,p25,acclimation,36,0.12934,0.792775,0.24765,1.370207041,0
gambusia,poecilia,p26,acclimation,1144,0.13428,0.390515,0.12281,1.373157911,1
gambusia,poecilia,p27,acclimation,684,0.21031,0.547275,0.03579,1.06760739,0
gambusia,poecilia,p28,acclimation,0,0.10902,0.39429,0.13418,1.410085575,0
gambusia,poecilia,p29,acclimation,562,0.15891,0.39493,-0.04716,0.887314521,1
gambusia,poecilia,p3,acclimation,NA,0.10188,0.310435,0.05159,1.181246487,1
gambusia,poecilia,p30,acclimation,0,0.11888,0.5903,0.25384,1.547800941,0
gambusia,poecilia,p31,acclimation,61,0.14587,0.290135,-0.02703,0.91098304,0
gambusia,poecilia,p32,acclimation,351,0.17234,0.28984,-0.04466,0.856936925,0
gambusia,poecilia,p4,acclimation,NA,0.09894,0.38683,0.1774,1.595042431,1
gambusia,poecilia,p5,acclimation,844,0.16748,0.413275,0.02985,1.074934103,0
gambusia,poecilia,p6,acclimation,40,0.12966,0.629095,-0.09865,0.854588603,0
gambusia,poecilia,p7,acclimation,0,0.12336,0.250315,0.01157,1.047315258,0
gambusia,poecilia,p8,acclimation,194,0.17376,0.36829,0.12156,1.395304218,0
gambusia,poecilia,p9,acclimation,485,0.08932,0.51775,0.0699,1.144780447,0
poecilia,poecilia,p1,acclimation,710,0.20212,0.588815,0.10957,1.205175739,0
poecilia,poecilia,p10,acclimation,816,0.10759,0.391525,0.02711,1.071725269,0
poecilia,poecilia,p11,acclimation,148,0.11976,0.452745,0.24255,1.731740429,0
poecilia,poecilia,p12,acclimation,607,0.16862,0.49682,-0.00788,0.984263919,0
poecilia,poecilia,p13,acclimation,1099,0.15565,0.24578,-0.0033,0.986662895,0
poecilia,poecilia,p14,acclimation,727,0.17434,0.322075,-0.09385,0.745663957,0
poecilia,poecilia,p15,acclimation,0,0.11162,0.35654,0.00352,1.009921642,1
poecilia,poecilia,p16,acclimation,528,0.1423,0.361665,0.05309,1.158420864,0
poecilia,poecilia,p17,acclimation,789,0.12559,0.35153,0.107,1.359024259,0
poecilia,poecilia,p18,acclimation,340,0.1445,0.279065,0.02779,1.104800694,0
poecilia,poecilia,p19,acclimation,1155,0.20816,0.487105,0.12245,1.287522307,0
poecilia,poecilia,p2,acclimation,263,0.10198,0.31549,0.08632,1.316968384,0
poecilia,poecilia,p20,acclimation,232,0.12895,0.396515,0.06981,1.193053289,0
poecilia,poecilia,p21,acclimation,278,0.2139,0.40738,-0.01042,0.974744904,1
poecilia,poecilia,p22,acclimation,830,0.14749,0.380405,-0.00251,0.993423466,0
poecilia,poecilia,p23,acclimation,123,0.18688,0.56085,0.04832,1.090033353,0
poecilia,poecilia,p24,acclimation,1148,0.11422,0.37333,0.09526,1.29247774,0
poecilia,poecilia,p25,acclimation,1064,0.12934,0.792775,0.24765,1.370207041,0
poecilia,poecilia,p26,acclimation,13,0.13428,0.390515,0.12281,1.373157911,1
poecilia,poecilia,p27,acclimation,479,0.21031,0.547275,0.03579,1.06760739,0
poecilia,poecilia,p28,acclimation,1197,0.10902,0.39429,0.13418,1.410085575,0
poecilia,poecilia,p29,acclimation,240,0.15891,0.39493,-0.04716,0.887314521,1
poecilia,poecilia,p3,acclimation,NA,0.10188,0.310435,0.05159,1.181246487,1
poecilia,poecilia,p30,acclimation,1183,0.11888,0.5903,0.25384,1.547800941,0
poecilia,poecilia,p31,acclimation,1046,0.14587,0.290135,-0.02703,0.91098304,0
poecilia,poecilia,p32,acclimation,706,0.17234,0.28984,-0.04466,0.856936925,0
poecilia,poecilia,p4,acclimation,NA,0.09894,0.38683,0.1774,1.595042431,1
poecilia,poecilia,p5,acclimation,34,0.16748,0.413275,0.02985,1.074934103,0
poecilia,poecilia,p6,acclimation,1051,0.12966,0.629095,-0.09865,0.854588603,0
poecilia,poecilia,p7,acclimation,1190,0.12336,0.250315,0.01157,1.047315258,0
